Date,Order number,Category,Category name,Origin,Remaining (MT)
2026-08-10,058618,7,Non-Alloy and Other Alloy Quarto Plates,United States of America (the),190
2026-08-10,058619,7,Non-Alloy and Other Alloy Quarto Plates,Residual,2131
2026-08-10,058620,12A,Alloy Merchant Bars and Light Sections,EU,14574
2026-08-10,058621,12A,Alloy Merchant Bars and Light Sections,Residual,5166
2026-08-10,058622,12B,Non Alloy Merchant Bars and Light Sections,EU,702
2026-08-10,058623,12B,Non Alloy Merchant Bars and Light Sections,Turkey,309
2026-08-10,058624,12B,Non Alloy Merchant Bars and Light Sections,Residual,0
2026-08-10,058625,13,Rebars,EU,24327
2026-08-10,058626,13,Rebars,Turkey,5308
2026-08-10,058627,13,Rebars,Residual,2
2026-08-10,058628,14,Stainless Bars and Light Sections,EU,1877
2026-08-10,058629,14,Stainless Bars and Light Sections,United States of America (the),381
2026-08-10,058630,14,Stainless Bars and Light Sections,Residual,37
2026-08-10,058634,16,Non-alloy and other alloy wire rod,EU,29748
2026-08-10,058635,16,Non-alloy and other alloy wire rod,Residual,1357
2026-08-10,058636,17,"Angles, shapes, and sections of iron or non-alloy steel",EU,38454
2026-08-10,058637,17,"Angles, shapes, and sections of iron or non-alloy steel",Korea (the Republic of),729
2026-08-10,058638,17,"Angles, shapes, and sections of iron or non-alloy steel",United States of America (the),213
2026-08-10,058639,17,"Angles, shapes, and sections of iron or non-alloy steel",Residual,1939
2026-08-10,058642,20,Gas Pipes,EU,2963
2026-08-10,058643,20,Gas Pipes,India,1035
2026-08-10,058644,20,Gas Pipes,Turkey,4011
2026-08-10,058645,20,Gas Pipes,Residual,1217
2026-08-10,058646,21,Hollow Sections,EU,2912
2026-08-10,058647,21,Hollow Sections,Turkey,19603
2026-08-10,058648,21,Hollow Sections,Residual,2436
2026-08-11,058600,1A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,EU,64471
2026-08-11,058601,1A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,India,8057
2026-08-11,058602,1A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,Korea (the Republic of),818
2026-08-11,058603,1A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,Residual,1918
2026-08-11,058604,4,Metallic Coated Sheets,EU,82088
2026-08-11,058605,4,Metallic Coated Sheets,India,20617
2026-08-11,058606,4,Metallic Coated Sheets,Korea (the Republic of),18966
2026-08-11,058607,4,Metallic Coated Sheets,Vietnam,43495
2026-08-11,058608,4,Metallic Coated Sheets,Residual,14753
2026-08-11,058609,5,Organic Coated Sheets,EU,2173
2026-08-11,058610,5,Organic Coated Sheets,Korea (the Republic of),4622
2026-08-11,058611,5,Organic Coated Sheets,Residual,323
2026-08-11,058612,6,Tin Mill Products,EU,9190
2026-08-11,058613,6,Tin Mill Products,Japan,78
2026-08-11,058614,6,Tin Mill Products,Korea (the Republic of),281
2026-08-11,058615,6,Tin Mill Products,Residual,5876
2026-08-11,058616,7,Non-Alloy and Other Alloy Quarto Plates,EU,36233
2026-08-11,058617,7,Non-Alloy and Other Alloy Quarto Plates,Korea (the Republic of),8444
2026-08-11,058618,7,Non-Alloy and Other Alloy Quarto Plates,United States of America (the),190
2026-08-11,058619,7,Non-Alloy and Other Alloy Quarto Plates,Residual,2024
2026-08-11,058620,12A,Alloy Merchant Bars and Light Sections,EU,14542
2026-08-11,058621,12A,Alloy Merchant Bars and Light Sections,Residual,5166
2026-08-11,058622,12B,Non Alloy Merchant Bars and Light Sections,EU,650
2026-08-11,058623,12B,Non Alloy Merchant Bars and Light Sections,Turkey,309
2026-08-11,058624,12B,Non Alloy Merchant Bars and Light Sections,Residual,0
2026-08-11,058625,13,Rebars,EU,24269
2026-08-11,058626,13,Rebars,Turkey,5308
2026-08-11,058627,13,Rebars,Residual,2
2026-08-11,058628,14,Stainless Bars and Light Sections,EU,1844
2026-08-11,058629,14,Stainless Bars and Light Sections,United States of America (the),379
2026-08-11,058630,14,Stainless Bars and Light Sections,Residual,20
2026-08-11,058634,16,Non-alloy and other alloy wire rod,EU,29592
2026-08-11,058635,16,Non-alloy and other alloy wire rod,Residual,0
2026-08-11,058636,17,"Angles, shapes, and sections of iron or non-alloy steel",EU,38447
2026-08-11,058637,17,"Angles, shapes, and sections of iron or non-alloy steel",Korea (the Republic of),729
2026-08-11,058638,17,"Angles, shapes, and sections of iron or non-alloy steel",United States of America (the),213
2026-08-11,058639,17,"Angles, shapes, and sections of iron or non-alloy steel",Residual,1935
2026-08-11,058642,20,Gas Pipes,EU,2853
2026-08-11,058643,20,Gas Pipes,India,923
2026-08-11,058644,20,Gas Pipes,Turkey,4011
2026-08-11,058645,20,Gas Pipes,Residual,1217
2026-08-11,058646,21,Hollow Sections,EU,2774
2026-08-11,058647,21,Hollow Sections,Turkey,19603
2026-08-11,058648,21,Hollow Sections,Residual,2421
2026-08-12,058600,1A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,EU,64339
2026-08-12,058601,1A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,India,8057
